Thématique_POI,Sous_thème_POI,Icone_représentation_visuelle
Commerce,Commerce,Logo_POIs/logo_commerce_service.png
Culture et social,Culture et social,Logo_POIs/logo_culture_social.png
Gastronomie,Logo_POIs/logo_terroir.png
Itinéraire touristique,Itinéraire touristique,Logo_POIs/logo_itineraire.png
Itinéraire touristique,Itinéraire cyclable,Logo_POIs/logo_velo.png
Itinéraire touristique,Itinéraire pédestre,Logo_POIs/logo_marche_à_pied.png
Itinéraire touristique,Itinéraire routier,logo_voiture.png
Loisir,Loisir,Logo_POIs/logo_loisir.png
Patrimoine,Patrimoine,Logo_POIs/logo_patrimoine.png
Restauration/Bar a theme,Restauration,Logo_POIs/logo_restauration.png
Restauration/Bar a theme,Restauration rapide,Logo_POIs/logo_restauration_rapide.png
Site naturel,Site naturel,Logo_POIs/logo_site_naturel.png
Sport,Sport,Logo_POIs/logo_sports.png
